resultCode,resultMsg,accDefRate,accExamCnt,accExamCompCnt,careCnt,clearCnt,createDt,deathCnt,decideCnt,examCnt,resutlNegCnt,seq,stateDt,stateTime,updateDt,numOfRows,pageNo,totalCount
0,NORMAL SERVICE.,1.357230437,8059113,7977201,7719,98786,2021-04-09 9:33,1764,108269,81912,7868932,475,20210409,0:00,null,10,1,435
0,NORMAL SERVICE.,1.356090364,8012421,7934427,7480,98360,2021-04-08 9:30,1758,107598,77994,7826829,474,20210408,0:00,null,10,1,435
0,NORMAL SERVICE.,1.354592427,7966167,7891525,7214,97928,2021-04-07 0:00,1756,106898,74642,7784627,473,20210407,0:00,null,10,1,435
0,NORMAL SERVICE.,1.354605602,7921290,7842135,7115,97363,2021-04-06 9:31,1752,106230,79155,7735905,472,20210406,0:00,2021-04-06 19:12,10,1,435
0,NORMAL SERVICE.,1.357827609,7868820,7788323,7104,96900,2021-04-05 9:44,1748,105752,80497,7682571,471,20210405,0:00,null,10,1,435
0,NORMAL SERVICE.,1.354998412,7849476,7769677,6946,96589,2021-04-04 9:45,1744,105279,79799,7664398,470,20210404,0:00,null,10,1,435
0,NORMAL SERVICE.,1.350680582,7829601,7754313,6800,96196,2021-04-03 9:34,1740,104736,75288,7649577,469,20210403,0:00,null,10,1,435
0,NORMAL SERVICE.,1.350079941,7788295,7717543,6595,95861,2021-04-02 9:54,1737,104193,70752,7613350,468,20210402,0:00,2021-04-03 10:07,10,1,435
0,NORMAL SERVICE.,1.349665911,7747300,7678641,6462,95439,2021-04-01 9:32,1735,103636,68659,7575005,467,20210401,0:00,2021-04-02 9:54,10,1,435
0,NORMAL SERVICE.,1.349899398,7707797,7636495,6324,95030,2021-03-31 9:32,1731,103085,71302,7533410,466,20210331,0:00,2021-04-02 14:07,10,1,435
0,NORMAL SERVICE.,1.352290902,7663996,7585572,6287,94563,2021-03-30 9:39,1729,102579,78424,7482993,465,20210330,0:00,2021-04-02 14:07,10,1,435
0,NORMAL SERVICE.,1.355005928,7616322,7537384,6282,94124,2021-03-29 9:41,1726,102132,78938,7435252,463,20210329,0:00,2021-04-02 14:08,10,1,435
0,NORMAL SERVICE.,1.353601391,7595589,7516984,6173,93855,2021-03-28 11:17,1722,101750,78605,7415234,462,20210328,0:00,2021-04-02 14:08,10,1,435
0,NORMAL SERVICE.,1.350710588,7572561,7497387,6072,93475,2021-03-27 9:53,1721,101268,75174,7396119,461,20210327,0:00,2021-04-02 14:08,10,1,435
0,NORMAL SERVICE.,1.352162853,7529396,7451987,6417,92630,2021-03-26 9:33,1716,100763,77409,7351224,460,20210326,0:00,2021-04-02 14:09,10,1,435
0,NORMAL SERVICE.,1.355246941,7485856,7398873,6496,92068,2021-03-25 9:34,1709,100273,86983,7298600,459,20210325,0:00,2021-04-02 14:09,10,1,435
0,NORMAL SERVICE.,1.358984854,7441207,7346881,6576,91560,2021-03-24 9:35,1707,99843,94326,7247038,458,20210324,0:00,2021-04-02 14:09,10,1,435
0,NORMAL SERVICE.,1.361697849,7400984,7300812,6632,91079,2021-03-23 9:32,1704,99415,100172,7201397,457,20210323,0:00,2021-04-02 14:10,10,1,435
0,NORMAL SERVICE.,1.365936533,7355958,7252826,6761,90611,2021-03-22 10:04,1697,99069,103132,7153757,456,20210322,0:00,2021-04-02 14:10,10,1,435
