상품군별,범위별,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01 p),2021. 02 p)
합계,계,"7,310,479","7,148,849","7,747,011","7,380,795","7,621,719","7,515,130","7,898,554","7,859,658","8,151,143","7,661,802","8,996,978","8,893,647","9,027,008","8,207,296","9,375,766","9,034,274","9,363,224","8,965,075","9,653,420","9,270,381","9,137,279","10,016,442","10,574,144","10,689,701","10,811,796","9,666,871","11,296,239","10,763,785","11,374,817","10,725,166","11,302,975","11,418,155","11,397,646","12,008,033","12,991,605","12,843,750","12,308,866","11,945,935","12,575,341","12,053,828","12,748,344","12,678,358","12,966,841","13,496,390","13,857,627","13,884,207","15,031,417","15,891,202","15,077,081","13,762,802"
,종합몰,"4,801,433","4,767,941","5,180,939","4,921,316","5,107,846","5,067,345","5,280,825","5,181,631","5,395,788","5,086,882","6,160,799","5,997,893","5,934,657","5,468,657","6,269,973","6,039,799","6,268,453","6,011,523","6,494,362","6,107,050","6,108,059","6,754,249","7,150,467","7,124,412","7,106,249","6,290,286","7,557,079","7,070,866","7,539,785","6,955,232","7,256,194","7,297,655","7,453,120","7,847,984","8,459,948","8,266,692","8,070,125","8,299,167","8,803,929","8,338,425","8,767,439","8,584,325","8,773,226","9,122,111","9,447,312","9,367,157","10,137,239","10,600,147","10,159,846","9,078,761"
,전문몰,"2,509,046","2,380,908","2,566,072","2,459,479","2,513,873","2,447,785","2,617,729","2,678,027","2,755,355","2,574,920","2,836,179","2,895,754","3,092,351","2,738,639","3,105,793","2,994,475","3,094,771","2,953,552","3,159,058","3,163,331","3,029,220","3,262,193","3,423,677","3,565,289","3,705,547","3,376,585","3,739,160","3,692,919","3,835,032","3,769,934","4,046,781","4,120,500","3,944,526","4,160,049","4,531,657","4,577,058","4,238,741","3,646,768","3,771,412","3,715,403","3,980,905","4,094,033","4,193,615","4,374,279","4,410,315","4,517,050","4,894,178","5,291,055","4,917,235","4,684,041"
컴퓨터 및 주변기기,계,"422,384","475,342","473,351","368,280","350,923","376,719","380,974","416,393","399,512","353,524","460,739","475,478","511,674","453,408","504,061","409,054","404,235","371,844","404,250","418,905","382,179","419,744","468,166","501,362","561,512","542,469","532,496","469,169","440,108","389,195","443,122","447,965","435,676","445,118","528,007","554,877","540,234","608,666","681,731","634,777","583,994","525,958","600,372","579,298","606,888","551,700","649,088","786,829","793,355","784,666"
,종합몰,"285,375","321,703","322,518","242,177","226,826","250,945","246,949","269,731","258,082","229,332","304,579","311,712","354,076","322,160","346,880","278,377","276,853","256,035","281,841","288,936","267,238","281,410","328,515","340,479","380,611","383,596","376,898","317,643","306,740","257,071","300,839","300,061","297,571","298,319","371,262","373,240","374,849","433,264","468,274","441,967","373,926","330,501","370,811","385,090","415,097","352,513","430,919","494,315","498,486","500,626"
,전문몰,"137,009","153,639","150,833","126,103","124,097","125,774","134,025","146,662","141,430","124,192","156,160","163,766","157,598","131,248","157,181","130,677","127,382","115,809","122,409","129,969","114,941","138,334","139,651","160,883","180,901","158,873","155,598","151,526","133,368","132,124","142,283","147,904","138,105","146,799","156,745","181,637","165,385","175,402","213,457","192,810","210,068","195,457","229,561","194,208","191,791","199,187","218,169","292,514","294,869","284,040"
가전·전자·통신기기,계,"602,122","626,874","667,726","716,708","861,618","752,474","926,867","758,482","706,658","728,407","948,510","815,267","858,256","770,401","946,627","945,259","1,026,133","963,674","1,188,194","960,593","792,407","989,521","1,182,355","1,043,945","1,063,081","982,059","1,324,884","1,134,227","1,296,165","1,177,804","1,230,419","1,198,465","1,096,363","1,200,192","1,357,353","1,213,392","1,133,998","1,334,641","1,408,598","1,334,302","1,548,029","1,518,651","1,390,898","1,637,033","1,416,798","1,612,744","1,929,767","1,872,713","1,871,490","1,647,492"
,종합몰,"542,475","566,014","597,969","633,963","781,707","683,616","843,851","687,755","623,981","664,648","834,432","740,659","770,198","691,681","839,705","855,166","931,725","875,827","1,088,967","852,645","712,763","883,715","1,005,001","902,122","937,497","873,576","1,162,672","989,535","1,155,073","1,062,829","1,099,415","1,052,009","983,976","1,034,377","1,182,033","1,059,732","990,995","1,154,860","1,221,949","1,174,721","1,396,030","1,363,964","1,239,245","1,449,274","1,237,568","1,389,901","1,587,442","1,591,766","1,571,446","1,389,207"
,전문몰,"59,647","60,860","69,757","82,745","79,911","68,858","83,016","70,727","82,677","63,759","114,078","74,608","88,058","78,720","106,922","90,093","94,408","87,847","99,227","107,948","79,644","105,806","177,354","141,823","125,584","108,483","162,212","144,692","141,092","114,975","131,004","146,456","112,387","165,815","175,320","153,660","143,003","179,781","186,649","159,581","151,999","154,687","151,653","187,759","179,230","222,843","342,325","280,947","300,044","258,285"
서적,계,"151,230","154,330","185,571","122,418","114,380","116,272","143,084","149,989","136,666","113,732","132,523","161,681","171,254","147,783","191,597","144,169","129,125","117,353","148,060","149,224","128,183","131,744","142,405","168,500","173,949","154,317","196,741","147,909","133,322","122,458","156,406","154,251","147,118","133,779","147,454","178,831","171,425","190,534","262,404","205,572","170,009","170,719","187,112","202,952","220,562","170,189","197,066","266,447","258,758","213,450"
,종합몰,"42,088","41,768","48,851","35,641","30,214","32,454","40,865","42,881","38,619","31,409","38,387","50,983","56,287","45,433","54,612","43,305","39,387","36,806","44,441","46,128","39,537","42,101","47,161","57,308","59,577","50,592","62,151","49,798","43,926","39,659","50,451","47,733","47,703","43,095","49,453","62,766","59,848","68,090","91,397","77,205","58,493","58,872","66,077","70,818","77,523","60,430","68,645","97,512","94,005","74,482"
,전문몰,"109,142","112,562","136,720","86,777","84,166","83,818","102,219","107,108","98,047","82,323","94,136","110,698","114,967","102,350","136,985","100,864","89,738","80,547","103,619","103,096","88,646","89,643","95,244","111,192","114,372","103,725","134,590","98,111","89,396","82,799","105,955","106,518","99,415","90,684","98,001","116,065","111,577","122,444","171,007","128,367","111,516","111,847","121,035","132,134","143,039","109,759","128,421","168,935","164,753","138,968"
사무·문구,계,"53,192","60,403","70,006","61,954","57,239","55,970","53,826","57,751","60,475","56,321","67,942","77,865","72,870","71,721","81,900","68,006","63,621","59,557","62,526","62,271","58,392","71,115","76,364","89,744","79,764","71,208","81,741","80,638","72,149","63,607","69,488","69,003","69,440","78,616","85,392","103,299","80,501","90,243","90,968","83,473","83,975","81,865","85,045","75,108","87,363","94,473","102,669","131,754","98,060","93,788"
,종합몰,"32,882","38,316","45,861","40,174","35,960","35,816","33,219","36,470","38,963","35,097","44,638","50,117","45,912","42,456","50,923","44,235","40,848","38,312","42,463","41,620","39,397","48,483","51,752","62,608","56,634","50,845","58,472","57,681","51,853","45,285","48,572","46,365","49,021","57,344","60,964","74,821","57,497","66,760","68,274","62,786","62,660","60,769","62,463","55,280","66,303","70,644","75,460","100,648","75,731","69,432"
,전문몰,"20,310","22,087","24,145","21,780","21,279","20,154","20,607","21,281","21,512","21,224","23,304","27,748","26,958","29,265","30,977","23,771","22,773","21,245","20,063","20,651","18,995","22,632","24,612","27,136","23,130","20,363","23,269","22,957","20,296","18,322","20,916","22,638","20,419","21,272","24,428","28,478","23,004","23,483","22,694","20,687","21,315","21,096","22,582","19,828","21,060","23,829","27,209","31,106","22,329","24,356"
의복,계,"864,515","827,672","1,042,742","972,647","978,235","909,742","887,371","758,225","959,679","1,034,705","1,443,945","1,195,890","964,236","825,152","1,163,132","1,078,268","1,101,406","1,017,864","992,332","828,362","1,003,952","1,350,908","1,482,193","1,390,544","1,107,321","959,743","1,238,235","1,204,083","1,278,281","1,133,621","1,139,671","912,495","1,187,128","1,413,279","1,710,042","1,462,342","1,040,353","949,352","1,173,379","1,162,388","1,343,403","1,323,317","1,105,548","915,563","1,149,298","1,597,835","1,757,900","1,497,038","1,090,386","1,001,316"
,종합몰,"476,916","457,902","569,404","538,627","543,161","511,973","498,479","422,209","519,861","594,676","884,356","728,001","549,847","456,043","656,663","596,395","613,756","570,472","555,383","458,165","539,397","776,226","858,317","828,920","603,970","510,048","668,653","652,322","681,161","590,154","573,727","476,516","609,108","792,626","967,541","821,513","570,724","505,110","625,161","620,128","702,869","689,343","579,326","481,065","609,260","876,501","948,625","800,100","568,331","502,883"
,전문몰,"387,599","369,770","473,338","434,020","435,074","397,769","388,892","336,016","439,818","440,029","559,589","467,889","414,389","369,109","506,469","481,873","487,650","447,392","436,949","370,197","464,555","574,682","623,876","561,624","503,351","449,695","569,582","551,761","597,120","543,467","565,944","435,979","578,020","620,653","742,501","640,829","469,629","444,242","548,218","542,260","640,534","633,974","526,222","434,498","540,038","721,334","809,275","696,938","522,055","498,433"
신발,계,"103,798","118,631","153,293","151,628","160,562","156,160","140,746","118,311","140,246","140,365","175,549","154,928","131,568","124,447","169,117","169,439","172,582","164,251","157,952","125,953","139,473","164,235","188,387","179,236","159,646","156,431","206,810","204,171","217,438","211,418","205,065","162,540","201,008","212,645","251,485","231,875","180,831","191,538","227,270","226,645","284,134","284,285","246,380","202,283","216,332","256,027","292,241","271,437","202,779","214,468"
,종합몰,"73,471","85,212","114,697","114,442","120,470","118,022","106,082","87,884","101,976","102,528","129,733","115,721","89,750","86,339","117,218","118,680","120,019","114,032","106,228","84,681","94,220","113,980","127,756","127,860","97,997","95,192","125,292","128,539","136,863","121,518","118,680","94,949","115,794","125,218","141,043","125,924","104,396","106,358","122,986","122,795","154,669","153,826","132,885","108,082","116,979","145,003","163,055","142,316","100,645","107,381"
,전문몰,"30,327","33,419","38,596","37,186","40,092","38,138","34,664","30,427","38,270","37,837","45,816","39,207","41,818","38,108","51,899","50,759","52,563","50,219","51,724","41,272","45,253","50,255","60,631","51,376","61,649","61,239","81,518","75,632","80,575","89,900","86,385","67,591","85,214","87,427","110,442","105,951","76,435","85,180","104,284","103,850","129,465","130,459","113,495","94,201","99,353","111,024","129,186","129,121","102,134","107,087"
가방,계,"143,643","163,204","168,660","159,399","152,370","149,442","151,719","163,461","165,215","157,007","169,508","180,854","186,542","178,154","194,190","185,469","190,609","176,525","192,018","180,739","176,869","184,737","180,036","201,321","202,289","211,934","230,083","218,640","225,132","210,523","209,939","222,228","228,842","235,527","232,236","245,214","211,105","210,768","220,548","200,043","226,162","241,128","240,048","226,027","223,559","234,801","247,393","248,491","228,206","237,356"
,종합몰,"123,077","139,641","146,182","136,921","133,230","131,069","132,921","142,901","145,063","137,851","149,850","161,003","163,851","154,221","171,868","163,933","171,139","157,383","169,432","159,669","156,186","164,628","159,792","179,429","173,747","180,043","198,163","191,234","197,345","184,055","177,255","191,747","197,228","205,645","200,566","213,427","175,998","171,888","184,733","165,591","190,495","200,043","203,698","190,020","185,476","202,642","211,307","216,049","198,298","198,908"
,전문몰,"20,566","23,563","22,478","22,478","19,140","18,373","18,798","20,560","20,152","19,156","19,658","19,851","22,691","23,933","22,322","21,536","19,470","19,142","22,586","21,070","20,683","20,109","20,244","21,892","28,542","31,891","31,920","27,406","27,787","26,468","32,684","30,481","31,614","29,882","31,670","31,787","35,107","38,880","35,815","34,452","35,667","41,085","36,350","36,007","38,083","32,159","36,086","32,442","29,908","38,448"
패션용품 및 액세서리,계,"143,439","146,885","165,677","165,183","168,702","162,825","170,035","178,204","170,345","161,449","189,580","206,100","195,299","178,379","210,147","196,288","198,073","189,401","209,945","194,350","169,357","182,647","192,160","220,802","191,270","185,262","211,277","213,521","233,789","215,417","231,955","212,401","212,056","206,328","216,318","242,365","201,146","184,087","185,300","170,263","194,764","193,127","208,392","188,105","165,557","168,864","183,729","211,136","177,334","162,887"
,종합몰,"116,467","118,304","136,039","139,550","141,626","135,549","140,384","145,205","141,409","133,956","160,784","172,891","161,089","144,848","175,151","161,918","162,931","153,643","170,155","158,362","140,112","150,855","158,604","183,841","155,038","143,894","165,785","169,331","186,159","168,521","181,438","163,181","167,055","166,009","175,061","195,465","156,664","142,964","137,151","123,282","143,092","141,035","152,763","130,694","120,683","125,989","138,961","159,677","136,748","127,194"
